abandon			[포기하다]
helpless [무기력한] [몸이 부자연스러운]
hesitatingly [망설거리며, 머뭇거리며]	
highly [매우]		
hiking [하이킹하다]
hire [고용하다]	
hitch [걸림, 장애, 지체]
hold [hold on, 매달리다, 의지하다], [생각하다], 잡다	
homesick [향수병의]
honorable [존경할만한] 
hopeless [희망없는]	
hopping [hop 깡충거리다]	
horizon [수평선]
host [떼, 무리], 주인	
household [가족(의)]	
housing [주택공급]	
however [그러나], 아무리 - 해도
humanity 인간성   
humble [초라한]	
humorous [재미있는, 우스운]	
I
I.D. [identification 신분증명서]	
identical (2/)[동일한, 똑 같은]	
identity [정체성], 신원, 본인 
idler [게으름뱅이]
ignorance [무지]	ignorant [무지한, 모르는]
                      ignore [무시하다]
imagination [상상력]	imagine  [상상하다]
immature [성숙하지 못한]
immediately [즉시]
impact [충격, 영향]		
impatience [성급함, 조급함]  impatient  [성급한, 참을수 없는]
                           impatiently [성급하게]	
imply [내포하다] [암시하다]
importantly [중요하게]	
impose [부과하다]
impress  [감동시키다]	
impression [인상]
imprint [누른 자국] [누르다] [감명 시키다]
improve  [개선하다, 개량하다]	improvement [개량, 개선]
incentive [자극, 유인]	
include [포함하다]
inconvenience [불편]	
increase  [증가(시키다)], [증가하다]   increasingly 	
indeed [실로, 참으로]
independent  [독립적인]	
indicate [가리키다]	
indifferent[무관심한]	
indirectly [우회하는] [간접적인]
individual [개인]           individualism [개인주의]
                          individualist [개인주의자]
                          individualistic [개인주의적인]
industrialize [산업화하다]	
inexpensive [비싸지 않은]	
infant [유아]	
infinite [무한한]	
inflation [인플레이션, 통화팽창]	
influence [영향(력)], [영향을 미치다]	
information  [정보]                inform [알려주다]	
injure [상처입히다, 다치게하다]     injury [상해]	
inner [내적인, 안의]	
innocent [순진한, 무죄의]	
inquire 묻다.	
insight [통찰력]	
insist [주장하다]	
instance [for instance, 예를 들어]
instead  [instead of, - 대신에]	
instinct [본능]	
institute [연구소]
instruction  [지시, 가르침]
instructor  [가르치는 사람]
instrument [기계, 도구] [악기]
insufficient [불충분한]
insulate [격리시키다, 절연시키다]	
intact [손대지 않은]	
intellect [지력, 지성]        intellectual [지적인] [지식인]
                          intelligence  [지능]	
intention  [의지, 의향, 목적]
interest [관심, 흥미], 이익
interfere [방해하다, 간섭하다]
intermission [중지]	
interpret [해석하다]	
invent[발명하다]	invention [발명]	
involve  [포함하다]1
irregularity [불규칙]
irresistible [저항할 수 없는]
isolation 고립, 격리
issue  [논쟁점, 문제점]	
item  [품목]	
J
jam  [traffic jam 교통혼잡]
jewelry [보석류]
journal 신문, 잡지	
jungle [밀림지대, 정글]	
junk [쓰레기, 폐물]	
just [올바른, 공정한], [단지, 다만], [겨우, 간신히], 바로
justice 	

K
keep  [keep A in mind], [-상태로 두다], 
       [고용하다], [지키다], [계속하다]
kettle [주전자]	
kindergarten [유치원]
knee [무릎]	

L
laboratory [실험실]	
lack [결핍, 결핍하다]	
landscape [경치, 풍경]	
last  [마지막], [지속하다], [last of all, 최후로, 마지막으로]
latecomer [늦은 사람]	
lately [최근에]	
laughter [웃음]	
leap  [뛰다, 도약하다]
lease [임대차 계약]	
least [little의 최상급], [at least, 적어도], 
     [least of all, 가장 아니다, 무엇보다 . . . 않다]
leave  [남겨두다], [떠나다]        leave [나뭇잎]	
lecture 	[강의]
legal [법률상의] [합법적인]
legendary [전설] 	
leisure 	[자유시간, 여가]
less  [little의 비교급][보다 작은, 보다 적은]
letter  [편지], 문자	
library [도서관], [(개인)서재]
lie [-에 있다]	
life [삶, 인생], [생명, 목숨]    lifestyle [생활양식]	
                             lifetime [일생]	
lift [리프트], 들어올리다, 엘리베이터,  올라가다.
light  [빛], [견해, 양상]
like [좋아하다], [-하고싶다],  [-처럼]
likely[be likely to R, -일 것 같다] 
limit  [제한하다], [한계, 제한]
list [목록표, 목록표에 올리다]
literacy [읽고 쓸줄 아는 능력]	
literary [문학적인]	
literature [문학]	
little  [사소한], [거의 - 않다], [조그만],
      [(작아서) 귀여운, 어린]
lively [기운찬, 활발한]		
livestock [가축]		
lobster [바다가재]	
logograph [상형문자, 표어문자], 기호 
lonely  [외로운]
long  [긴], [오랜], 갈망하다
long-ago [옛날의, 오래 전의]
long-term [긴 기간의, 장기의]
look  [보이다], [외모], [보다],
      [look for, 찾다], [look through, 검토하다]
lore [민간전승]		
lose  [몸무게 따위가 빠지다], [잃어버리다]   loss [손실]
lot  [a lot of], [a lot, 다수 다량]	
low-hanging [낮게 매달린]
lunge [휴게실, 거실]	
luxurious [사치스러운] [호화로운]
M
magical [마술적인]	
maiden [소녀, 처녀, 처녀의]
mainly [주로]	
maintain [주장하다, 유지하다]	
major [주요한], 많은, 장음계의, [주로]	
malnutrition [영양부족, 실조]	
manager [매니저]
mankind [인류, 인간]
manual [소책자]
manufacture [제조(하다), 제작(하다)], [제조업자]	
marathon [마라톤]	
margin [가장자리] [매매이익금, 마진]
marine [바다의 해양의]	
market [시장]	
master [숙달하다], 주인, 지배인, 석사, 정복하다
match [조화하다, 어울리다], 경쟁하다	
matter  [no matter where] [중요하다], [문제], 
        [as a matter of fact]	
maturation [성숙, 원숙]     mature [성숙한]
may  [추측 - 일지도 모른다], [-해도 좋다], 
     [양보절에 쓰이는], [might의 형태로, 가정법]
mealtime [식사시간]
mean [복수로 사용되어서, 수단, 방법], (형용사) 비열한
     mean [의미하다], [수단, 방법], 
     [by no means, 결코 - 이 아닌],[by all means, 반드시]
